ME ID	Canonical form
DCM00625	iemand zal de klus verloren hebben
DCM00626	iemand zal de kluts kwijt raken
DCM00627	iemand zal de kluts kwijt zijn
DCM00628	iemand zal de kluts kwijtraken
DCM00629	iemand zal de kluts verloren hebben
DCM00630	iemand zal de knoop doorhakken
DCM00631	iemand zal de koe bij de horens grijpen
DCM00632	iemand zal de koe bij de horens pakken
DCM00633	iemand zal de koe bij de horens vatten
DCM00634	Men zal de koe van achteren in de kont kijken
DCM00635	De koek zal op zijn
DCM00636	de kogel zal door de kerk zijn
DCM00637	iemand zal de kolf naar de bal werpen
DCM00638	iemand zal de koning te rijk zijn
DCM00639	iemand zal de koninklijke weg gaan
DCM00640	iemand zal de kool en de geit sparen
DCM00641	de kool zal het sop 0niet waard zijn
DCM00642	iemand zal de kop in het zand steken
DCM00643	iemand zal de kous op de kop krijgen
DCM00644	iemand zal de kriebels van iets krijgen
DCM00645	iemand zal de kroon op iets zetten
DCM00646	iemand zal de kroon spannen
DCM00647	de kruik zal zo lang te water gaan tot hij barst
DCM00648	de kruik zal zo lang te water gaan tot zij berst
DCM00649	de kruik zal zo lang te water gaan tot zij breekt
DCM00650	iemand zal de kruiken bestellen
DCM00651	de kwade genius
DCM00652	de kwade Pier
DCM00653	iemand zal de laan uitgaan
DCM00654	iemand zal de laatste hand  aan iets leggen
DCM00655	de laatste loodjes zullen het zwaarst wegen
DCM00656	de laatsten zullen de eersten zullen zijn
DCM00657	iemand zal de lakens uitdelen
DCM00658	iemand zal de lakens uitgeven
DCM00659	de lamp zal scheef hangen
DCM00660	de lamp zal scheef staan
DCM00661	de lamp zal schuins hangen
DCM00662	de lamp zal schuins staan
DCM00663	de lamp zal voorover hangen
DCM00664	de lamp zal voorover staan
DCM00665	iemand zal de lever schudden
DCM00666	iemand zal de liefde bedrijven
DCM00667	iemand zal de lier aan de wilgen hangen
DCM00668	iemand zal de lijdensbeker drinken
DCM00669	iemand zal de lijdensbeker ledigen
DCM00670	iemand zal de lijdenskelk drinken
DCM00671	iemand zal de lijdenskelk ledigen
DCM00672	iemand zal de lijn trekken
DCM00673	de linkerhand zal niet laten weten wat de rechter doet
DCM00674	iemand zal de lip laten hangen
DCM00675	iemand zal de lucht ingaan
DCM00676	iemand zal de lucht van iets in de neus krijgen
DCM00677	iemand zal de lucht van iets krijgen
DCM00678	iemand zal de lul zijn
DCM00679	iemand zal de Mammon dienen
DCM00680	de man zal het hoofd zijn
DCM00681	de man zal op 't kerkhof liggen
DCM00682	de man zal op 't kerkhof zijn
DCM00683	de mantel zal op iemand gevallen zijn
DCM00684	de mantel zijns meesters zal op iemand gevallen zijn
DCM00685	iemand zal de melk optrekken
DCM00686	de mens zal wikken en God beschikt
DCM00687	de mens zal wikken maar God beschikt
DCM00688	iemand zal de mier aan iemand | iets hebben
DCM00689	iemand zal de mijl op zeven gaan
DCM00690	iemand zal de mist ingaan
DCM00691	de moed zal iemand in de schoenen zinken
DCM00692	iets zal de moeite 0niet meer zijn
DCM00693	iets zal de moeite 0niet zijn
DCM00694	de molen zal door de vang lopen
DCM00695	de molen zal door de vang staan
DCM00696	de molen zal door de vang zijn
DCM00697	iemand zal de mom afwerpen
DCM00698	iemand zal de moord steken
DCM00699	iemand zal de moord stikken
DCM00700	de morgenstond zal goud in de mond hebben
DCM00701	iemand zal de mug uitzijgen en de kemel doorzwelgen
DCM00702	de muren zullen oren hebben
DCM00703	de muts zal iemand verkeerd staan
DCM00704	iemand zal de nagel op de kop slaan
DCM00705	iemand zal de nagel op de kop tikken
DCM00706	iemand zal de nagel op het hoofd slaan
DCM00707	iemand zal de nagel op het hoofd tikken
DCM00708	de natuur zal  boven de leer gaan
